page_type,name,slug,parent_category,primary_keyword,secondary_keywords,search_intent,product_count,seller_count,unique_content_available,index_status,canonical_url,priority,publication_phase,notes
subcategory,"Carburadores",carburadores-la413716,"Repuestos","carburador desmalezadora","",transactional,19,1,yes,INDEX,https://www.madsjeez.com.ar/category/carburadores-la413716,0.8,A,"duplicada con la413715"
subcategory,"Carreteles",carreteles-la413606,"Repuestos","carretel desmalezadora","",transactional,17,1,yes,INDEX,https://www.madsjeez.com.ar/category/carreteles-la413606,0.8,A,"duplicada con la413607"
subcategory,"Carburadores",carburadores-la413715,"Repuestos","carburador motosierra","",transactional,16,1,yes,INDEX,https://www.madsjeez.com.ar/category/carburadores-la413715,0.8,A,"duplicada con la413716"
subcategory,"Medias",medias-la109279,"Medias y Panties","medias bebe","",transactional,15,1,yes,INDEX,https://www.madsjeez.com.ar/category/medias-la109279,0.8,A,ok
subcategory,"Tanques para Desmalezadoras",tanques-para-desmalezadoras-la429074,"Repuestos","tanque desmalezadora","",transactional,14,1,yes,INDEX,https://www.madsjeez.com.ar/category/tanques-para-desmalezadoras-la429074,0.8,A,"duplicada con la429069"
subcategory,"Camas",camas-la370542,"Camas y Cuchas","cama mascota","",transactional,13,1,yes,INDEX,https://www.madsjeez.com.ar/category/camas-la370542,0.8,A,ok
category,"Tapas de arranque para maquinas de jardin",tapas-de-arranque-para-maquinas-de-jardin,"","tapas de arranque maquinas de jardin","",transactional,11,1,yes,INDEX,https://www.madsjeez.com.ar/category/tapas-de-arranque-para-maquinas-de-jardin,0.8,A,ok
subcategory,"Tanques para Desmalezadoras",tanques-para-desmalezadoras-la429069,"Repuestos","tanque combustible desmalezadora","",transactional,9,1,yes,INDEX,https://www.madsjeez.com.ar/category/tanques-para-desmalezadoras-la429069,0.6,B,"duplicada con la429074"
subcategory,"Espadas para Motosierras",espadas-para-motosierras-la455611,"Repuestos","espada motosierra","",transactional,9,1,yes,INDEX,https://www.madsjeez.com.ar/category/espadas-para-motosierras-la455611,0.6,B,"duplicada con la455610"
subcategory,"Espadas para Motosierras",espadas-para-motosierras-la455610,"Repuestos","espada para motosierra","",transactional,8,1,yes,INDEX,https://www.madsjeez.com.ar/category/espadas-para-motosierras-la455610,0.6,B,"duplicada con la455611"
subcategory,"Carreteles",carreteles-la413607,"Repuestos","carretel bordeadora","",transactional,8,1,yes,INDEX,https://www.madsjeez.com.ar/category/carreteles-la413607,0.6,B,"duplicada con la413606"
subcategory,"Cadenas para Motosierras",cadenas-para-motosierras-la455588,"Repuestos","cadena motosierra","",transactional,7,1,yes,INDEX,https://www.madsjeez.com.ar/category/cadenas-para-motosierras-la455588,0.6,B,ok
subcategory,"Interruptores Electricos",interruptores-electricos-la417161,"Interruptores","interruptor electrico","",transactional,6,1,yes,INDEX,https://www.madsjeez.com.ar/category/interruptores-electricos-la417161,0.6,B,ok
subcategory,"Arneses para Desmalezadoras",arneses-para-desmalezadoras-la455604,"Proteccion para Jardineros","arnes desmalezadora","",transactional,6,1,yes,INDEX,https://www.madsjeez.com.ar/category/arneses-para-desmalezadoras-la455604,0.6,B,ok
subcategory,"Hidrolavadoras",hidrolavadoras-mla30840,"Limpieza","hidrolavadora","",transactional,6,1,yes,INDEX,https://www.madsjeez.com.ar/category/hidrolavadoras-mla30840,0.6,B,ok
subcategory,"Campanas de Embrague",campanas-de-embrague-la429534,"Embragues","campana de embrague","",transactional,5,1,yes,INDEX,https://www.madsjeez.com.ar/category/campanas-de-embrague-la429534,0.6,B,ok
subcategory,"Tanzas",tanzas-la429066,"Repuestos","tanza desmalezadora","",transactional,5,1,yes,INDEX,https://www.madsjeez.com.ar/category/tanzas-la429066,0.6,B,"duplicada con la429071"
subcategory,"Cuchas y Casas",cuchas-y-casas-la413309,"Camas y Cuchas","cucha perro","",transactional,5,1,yes,INDEX,https://www.madsjeez.com.ar/category/cuchas-y-casas-la413309,0.6,B,ok
subcategory,"Cuellos",cuellos-mla95092,"Bufandas y Panuelos","cuello termico","",transactional,5,1,yes,INDEX,https://www.madsjeez.com.ar/category/cuellos-mla95092,0.6,B,ok
# --- Por debajo del umbral (NOINDEX automatico hasta llegar a 5 productos en stock) ---
subcategory,"Balaclavas y Cuellos Termicos",balaclavas-y-cuellos-termicos-la455552,"Indumentaria y Calzado","balaclava","",transactional,4,1,partial,NOINDEX,https://www.madsjeez.com.ar/category/balaclavas-y-cuellos-termicos-la455552,0.3,C,sube a INDEX al llegar a 5
subcategory,"Mangueras Industriales",mangueras-industriales-la455575,"Repuestos","manguera industrial","",transactional,4,1,partial,NOINDEX,https://www.madsjeez.com.ar/category/mangueras-industriales-la455575,0.3,C,sube a INDEX al llegar a 5
subcategory,"Candados",candados-mla36552,"Herrajes de Seguridad","candado","",transactional,4,1,partial,NOINDEX,https://www.madsjeez.com.ar/category/candados-mla36552,0.3,C,sube a INDEX al llegar a 5
subcategory,"Griferias Convencionales",griferias-convencionales-mla53260,"Mobiliario para Cocinas","griferia","",transactional,4,1,partial,NOINDEX,https://www.madsjeez.com.ar/category/griferias-convencionales-mla53260,0.3,C,sube a INDEX al llegar a 5
subcategory,"Bombas Centrifugas",bombas-centrifugas-mla30768,"Bombas","bomba centrifuga","",transactional,4,1,partial,NOINDEX,https://www.madsjeez.com.ar/category/bombas-centrifugas-mla30768,0.3,C,sube a INDEX al llegar a 5
# NOTA: ~85 subcategorias adicionales con 1-3 productos quedan NOINDEX (mismo criterio).
# ~378 categorias sin productos no se listan aqui (no entran al sitemap ni al indice).
# Regenerar este inventario completo con: node scripts/seo-export-inventory.mjs (requiere SUPABASE_SERVICE_ROLE_KEY).
